CustomerId,PostalCode,HashCode,Firstname,rowNumber,Birthday,Gender,churn,terminate,PaymentMethod,totalTransaction,age
1,49278,BOl2gvcX,Benjamin,450,14MAR50:16:25:24,m,No,Yes,credit card,398.22489223,64
2,39982,lJC8cDTW,Benno,451,03MAY78:16:25:24,m,No,Yes,cheque,354.03197172,36
3,87213,tKIbadnh,Eva,1,13APR88:16:25:24,w,No,No,credit card,119.07023246,26
4,38548,RcW2Pb3w,Kunigunde,2,21JUN74:16:25:24,w,No,Yes,credit card,398.22275933,40
5,38794,z9twA4AJ,Wolfram,452,17AUG74:16:25:24,m,No,No,credit card,432.28160446,40
6,44573,akWNQl4e,Notburga,3,05JUN85:16:25:24,w,No,Yes,cheque,459.6436832,29
7,70936,glrPDLzY,Maximiliane,4,26JUL92:16:25:24,w,No,No,credit card,111.4377616,22
8,71302,Pn6FkbuL,Stephan,453,21OCT65:16:25:24,m,No,No,credit card,512.80272564,49
9,49705,3rGPBX98,Dorothea,5,04AUG43:16:25:24,w,No,Yes,credit card,319.27415019,71
10,36049,9Eng7yI0,Bernhard,454,10MAY77:16:25:24,m,No,No,credit card,112.45104561,37
11,26323,uP7dRmDK,Alfred,455,30JUN91:16:25:24,m,No,No,credit card,731.38758816,23
12,42376,XlxhfOIo,Maria,6,29JUL60:16:25:24,w,No,Yes,cash,266.19670517,54
13,42215,KYmSR2vE,Sebastian,456,24AUG86:16:25:24,m,No,No,cash,363.50364565,28
15,57984,yTDlEBXc,Christian,458,25DEC91:16:25:24,m,No,No,cash,216.2473145,23
16,52245,3ANQ9shn,Rosina,7,28JUN64:16:25:24,w,Yes,No,credit card,2.5,50
17,56625,BDEPLKmG,Susanne,8,14APR89:16:25:24,w,No,Yes,cash,315.27972458,25
18,50003,8vB4XorN,Adolf,459,05DEC68:16:25:24,m,No,No,credit card,435.45549832,46
19,37852,1SDtHCf7,Eustachius,460,17APR68:16:25:24,m,No,No,credit card,128.90510265,46
20,66713,gQBDZ8Lw,Genoveva,9,31MAR48:16:25:24,w,Yes,No,cash,488.09917896,66
21,70052,G1c0kZqQ,Katharina,10,16NOV31:16:25:24,w,No,Yes,cash,169.34455468,83
22,44272,lJC8cDTW,Marlene,11,29JUN78:16:25:24,w,No,No,credit card,233.98941438,36
23,71962,n5YVLJ7v,Annemarie,12,22SEP96:16:25:24,w,No,No,credit card,432.94805358,18
24,30942,tIdMRZzN,Silvester,461,08DEC61:16:25:24,m,No,Yes,cash,442.72803974,53
25,45355,HVtuFvKk,Magdalena,13,18FEB65:16:25:24,w,Yes,No,credit card,109.61313523,49
26,59736,LJVy8PnW,Waltraud,14,20SEP80:16:25:24,w,No,Yes,credit card,326.33944202,34
27,27323,YrunTynm,Kaspar,462,13JUN73:16:25:24,m,Yes,No,credit card,529.77483055,41
28,44466,Pme0EuIj,Maria,15,29SEP60:16:25:24,w,No,Yes,credit card,188.88046332,54
29,62985,lOppPgbt,Barbara,16,19MAY49:16:25:24,w,Yes,No,credit card,310.92679933,65
30,48487,FQONt9Qj,Katrin,17,16DEC71:16:25:24,w,No,Yes,credit card,336.37134087,43
31,25067,kGbkHPe3,Albert,463,28OCT47:16:25:24,m,No,Yes,cash,349.5879637,67
32,51008,ZBaMGxyd,Barbara,18,28MAY29:16:25:24,w,No,No,cash,324.23321351,85
33,46682,G1c0kZqQ,Benedikt,464,29SEP79:16:25:24,m,No,No,cheque,88.261180788,35
34,79587,U9oQ4X4a,Eduard,465,24MAR68:16:25:24,m,No,No,credit card,1119.4228152,46
35,72496,vkq98Roy,Katrin,19,23JAN43:16:25:24,w,No,Yes,credit card,320.75628408,71
36,63472,Zu1IH3W9,Heinrich,466,08JUN45:16:25:24,m,No,Yes,cash,353.26017901,69
37,38676,w1RMi0Ye,Susanne,20,19JAN96:16:25:24,w,No,Yes,cash,268.40360456,18
38,65683,67pf3SG7,Rosemarie,21,07SEP64:16:25:24,w,Yes,No,cash,288.21030362,50
39,57636,txwqlFrx,Hannelore,22,07JAN91:16:25:24,w,No,No,credit card,271.34651167,23
40,83490,p2B4niEV,Anton,467,01NOV75:16:25:24,m,No,No,credit card,425.97565686,39
41,58302,dtW2nTUg,Annemarie,23,29AUG48:16:25:24,w,Yes,No,cash,348.71020382,66
42,80454,Q6Hs8l2N,Josephine,24,24OCT91:16:25:24,w,No,No,credit card,431.57211246,23
43,29058,K4BiUUqk,Christian,468,06MAY92:16:25:24,m,No,No,credit card,483.32039034,22
